No_Shot,Machine_Cycle_Time,Cycle_Time,Barrel_Temp_Z1,Barrel_Temp_Z2,Barrel_Temp_Z3,Barrel_Temp_Z4,Hopper_Temp,Injection_Pressure_Real_Time,Screw_Position,Injection_Peak_Press,Max_Injection_Rate,Screw_Velocity,VP_Time,VP_Position,Weighing_Start_Position,VP_Press,Plasticizing_Time,Plasticizing_Start_Position,Plasticizing_End_Position,Plasticizing_RPM,Minimum_Cushion,Cooling_Time,Back_Flow,Decompression_Time,_ID
197,16.66,16.68,210.1,199.9,194.7,189.7,40,1.37,6.58,1268.15,78.13,48.46,2,8.11,11.06,1183.72,4.82,11.05,63.11,28.27,6.58,8,49.03,0.32,197
198,16.66,16.68,210,199.9,194.8,189.8,40,1.37,6.48,1262.04,78.21,48.69,2,8.14,10.97,1179.98,4.8,10.95,63.11,28.27,6.48,8,49.03,0.33,198
199,16.66,16.68,209.9,200,194.8,189.9,40,1.37,6.61,1246.82,78.06,47.86,2,8.13,11.05,1206.17,4.8,11.04,63.11,28.27,6.61,8,49.03,0.32,199
200,16.64,16.68,210,200.1,194.8,190,39.8,1.36,6.52,1241.21,78.17,46.43,2,8.11,11.02,1209.53,4.74,11.01,63.11,28.27,6.52,8,49.03,0.33,200
201,16.64,16.66,210,200,194.7,190,39.9,1.34,6.5,1247.2,78.23,46.9,2,8.11,10.98,1206.92,4.8,10.97,63.12,28.27,6.5,8,49.03,0.32,201
202,16.64,16.66,209.9,200.1,194.6,190,40,1.35,6.51,1257.67,78.21,47.78,2,8.13,11,1199.93,4.78,10.98,63.11,28.27,6.51,8,49.03,0.32,202
203,16.66,16.66,209.9,200.1,194.7,190,40.1,1.36,6.48,1270.89,78.19,47.76,2,8.12,10.98,1176.11,4.85,10.97,63.12,28.27,6.48,8,49.03,0.32,203
204,16.66,16.66,210,200.1,194.8,190,40.3,1.35,6.5,1257.05,78.18,47.21,2,8.12,11,1186.09,4.82,10.98,63.11,28.27,6.5,8,49.03,0.32,204
205,16.66,16.66,210,200.1,194.8,190,40.3,1.36,6.57,1274.88,78.13,47.49,2,8.1,11.05,1168.63,4.81,11.03,63.11,28.27,6.57,8,49.03,0.32,205
206,16.66,16.69,210,200.1,194.9,190,40.2,1.36,6.43,1272.14,78.31,48.44,2,8.14,10.9,1161.52,4.83,10.88,63.11,28.27,6.43,8,49.03,0.32,206
